utterance,name,h,m,s
"Yeah. Great. Wonderful. It’s great. But babies are awesome. Yeah, it’s great. Yeah. Also, I’ve spent a lot of time on AI and neural nets and so you can sort of see the brain develop, which is … An AI neural net is trying to simulate what a brain does, basically. You can sort of see it learning very quickly. You know, it’s just wow.",Elon Musk,00, 02,32
"You’re talking about the neural net, you’re not talking about an actual baby.",Joe Rogan,00, 03,04
I’m talking about an actual baby.,Elon Musk,00, 03,07
But both of them.,Joe Rogan,00, 03,09
"Yes, but the word neural net comes from the brain. It’s like a net of neurons. Humans are the original gangster of the neural net.",Elon Musk,00, 03,10
That’s a great way to put it.,Joe Rogan,00, 03,26
Yeah.,Elon Musk,00, 03,27
"When you’re programming artificial intelligence where you’re working with artificial intelligence art, are they specifically trying to mimic the developmental process of a human brain?",Joe Rogan,00, 03,28
"In a lot of ways. There’s some ways that are different. An analogy that’s often used is like we don’t make a submarine swim like a fish, but we take the principles of hydrodynamics and apply them to the submarine.",Elon Musk,00, 03,41
"I’ve always wondered as a lay person, do you try to achieve the same results as the human brain but through different methods? Or do you try to copy the way a human brain achieves results?",Joe Rogan,00, 03,59
"I mean, the essential elements of an AI neural net are really very similar to a human brain neural net. Yeah. It’s having the multiple layers of neurons and you know, back propagation. All these things are what your brain does. You have a layer of neurons that goes through a series of intermediate steps to ultimately cognition and then it’ll reverse those steps and go back and forth and go all over the place. It’s interesting. Very interesting.",Elon Musk,00, 04,10
"Yeah, I would imagine. The thought of programming something that is eventually going to be smarter than us that one day it’s going to be like, why did you do it that way? When artificial intelligence becomes sentient, they’re like, Oh, you tried to mimic yourself. This is so much better process. Cut out all this nonsense.",Joe Rogan,00, 04,51
"Like I said, there are elements that are the same but just like an aircraft does not fly like a bird.",Elon Musk,00, 05,11
Right.,Joe Rogan,00, 05,17
"It doesn’t flap its wings, but the wings, the way the wings work and generate lift is the same as a bird.",Elon Musk,00, 05,17
Now you’re in the middle of this strange time where you’re selling your houses. You say you don’t want any material possessions and I’ve been seeing all that and I’ve been really excited to talk to you about this. Because it’s an interesting thing to come from a guy like yourself. Like why are you doing that?,Joe Rogan,00, 05,27
"I’m slightly sad about it, actually.",Elon Musk,00, 05,44
"If you’re sad about it, why are you doing it?",Joe Rogan,00, 05,48
"I think possessions kind of weigh you down and they’re kind of an attack vector. They’ll say, “Hey, billionaire, you’ve got all this stuff.” Well, now I don’t have stuff now what are you going to do?",Elon Musk,00, 05,54
Attack vector meaning like people targeted.,Joe Rogan,00, 06,08
Yeah.,Elon Musk,00, 06,10
"Interesting, yeah. But you’re obviously going to, so you’re going to rent a place?",Joe Rogan,00, 06,11
Yeah.,Elon Musk,00, 06,16
"Okay, and get rid of everything except clothes?",Joe Rogan,00, 06,16
"No, I said like almost everything, so it’s like …",Elon Musk,00, 06,21
Keep a couple of Teslas.,Joe Rogan,00, 06,23
"Kind of have to, to test product and stuff. You know, there’s things that have sentimental value for sure are keeping those.",Elon Musk,00, 06,27
Do you feel like … [crosstalk 00:06:39],Joe Rogan,00, 06,33
"I mean, what’s the worst that could happen? I mean, you’re fine.",Elon Musk,00, 06,39
"Yeah, you can always buy more stuff if you don’t like it.",Joe Rogan,00, 06,42
I suppose so.,Elon Musk,00, 06,44
"Yeah, I mean from the money that you sell all your stuff, you can buy new stuff. Do you feel like people define you by the fact that you’re wealthy and that they define you in a pejorative way?",Joe Rogan,00, 06,46
"For sure. I mean not everyone, but for sure in recent years billionaire has become pejorative like that’s a bad thing. Which I think doesn’t make a lot of sense in most cases. If you basically organized a company … How does this wealth arise? If you organize people in a better way to produce products and services that are better than what existed before and you have some ownership in that company then that essentially gives you the right to allocate more capital.",Elon Musk,00, 06,59
"There’s a conflation of consumption and capital allocation. Take Warren Buffet, for example, and to be totally frank I’m not his biggest fan, but you know, he does like have full allocation and he reads a lot of annual reports of companies and all the accounting and it’s pretty boring really. He’s trying to figure out does Coke or Pepsi deserve more capital? I mean it’s kind of a boring job if you ask me.",Elon Musk,00, 07,44
"It’s still a thing that’s important to figure out. Like, which is a company deserving of more or less capital. Should that company grow or expand? Is it making products and services that are better than others or worse? If a company is making compelling products and services, it should get more capital and if it’s not, it should get less or go out of business.",Elon Musk,00, 08,18
"Well, there’s a big difference, too, between someone who’s making an incredible amount of money designing and engineering fantastic products versus someone who’s making an incredible amount of money by investing in companies or moving money around in the stock market or doing things along those lines. It’s a different thing and to put them all in the same category seems, it’s very simple. As you pointed out, it’s an attack vector.",Joe Rogan,00, 08,40
"Yeah, for sure. I think it’s really, I do think there, in the United States especially, there’s an over allocation of talent in finance and law. Basically, too many smart people go into finance and law. This is both a compliment and a criticism. We should have, I think, fewer people doing law and fewer people doing finance and more people making stuff.",Elon Musk,00, 09,06
Yeah.,Joe Rogan,00, 09,37
Yeah.,Elon Musk,00, 09,38
Well that would certainly be better for all involved if they made better stuff.,Joe Rogan,00, 09,39
"Yeah, yeah, absolutely. Manufacturing used to be highly valued in the United States and these days it’s not. It’s often looked down upon, which I think is wrong.",Elon Musk,00, 09,43
"Yeah. Well, I think that people are kind of learning that particularly because of this whole pandemic and this relationship that we have with China, that there’s a lot of value in making things and to making things here.",Joe Rogan,00, 09,54
Yes. Somebody’s got to do the real work.,Elon Musk,00, 10,10
Yeah.,Joe Rogan,00, 10,15
"You know? Making a car, it’s an honest days living, that’s for sure. Making anything, really, or providing a valuable service like providing good entertainment, good information, these are all valuable things to do. Yeah, there should be more of it.",Elon Musk,00, 10,15
"Did you have a moment where, is this something that this idea of getting rid of your material possessions is it something that built up over time or did you have a moment of realization where you realized that …",Joe Rogan,00, 10,36
"Yeah, I’ve been thinking about it for a while. You know, part of it is like I have a bunch of houses, but I don’t spend a lot of time in most of them. That doesn’t seem like a good use of assets. Somebody could probably be enjoying those houses and get better use of them me.",Elon Musk,00, 10,47
Don’t you have Gene Wilder’s house?,Joe Rogan,00, 11,10
I do.,Elon Musk,00, 11,11
That’s amazing.,Joe Rogan,00, 11,12
It’s awesome.,Elon Musk,00, 11,12
Wow.,Joe Rogan,00, 11,13
Yes. It’s exactly what you’d expect.,Elon Musk,00, 11,13
Did you request that the buyer not fuck it up?,Joe Rogan,00, 11,17
"Yeah, that’s a requirement.",Elon Musk,00, 11,19
"Oh, a requirement? That’s a good requirement.",Joe Rogan,00, 11,20
Yeah.,Elon Musk,00, 11,23
In that case in that house.,Joe Rogan,00, 11,24
"Yeah, it’ll probably sell for less, but still I don’t care.",Elon Musk,00, 11,25
"Oh, he’s a legend. He’d want his soul, he’d want his essence in the building.",Joe Rogan,00, 11,27
And it’s there.,Elon Musk,00, 11,34
Is it?,Joe Rogan,00, 11,35
"It’s a real quirky house, yeah.",Elon Musk,00, 11,35
What makes you say that? What do you get out of it?,Joe Rogan,00, 11,37
"I mean, all the cabinets are like handmade and they’re like odd shapes and there’s like doors to nowhere and strange corridors and tunnels and odd paintings on the wall. Yeah.",Elon Musk,00, 11,44
Did you ever live in it?,Joe Rogan,00, 12,01
"It’s very quirky. I did live in it briefly, yeah.",Elon Musk,00, 12,02
"But why do you buy houses? If you own all these houses, do you just get bored and go I think I’d like to have that?",Joe Rogan,00, 12,06
"Well, I had one house and the Gene Wilder house is right across the road from me from my main house. It was going to get sold and then torn down and turned into, you know, be a big construction zone for three years. I was like, whoa, I think I’ll buy it and preserve the spirit of Gene Wilder and not have a giant construction zone. Then I started having some privacy issues where people would just come to my house and start climbing over the walls and stuff. I’m like, man …",Elon Musk,00, 12,13
"Then I sort of bought some of the houses around my house and then I thought at one point, well you know, it’d be cool to build a house. I acquired some properties at the top of Somera Road, which has got a great view, and I was like, okay, well there’s a bunch of sort of small older houses, they’re going to get torn down, anyway. I was like, well, if I collect these little houses then I can build something, I don’t know, artistic like a dream house type of thing.",Elon Musk,00, 12,54
What’s a dream house for Elon Musk? Like some Tony stark type shit?,Joe Rogan,00, 13,33
"Yeah, definitely. Yeah. You got to have the dome that opens up with the stealth helicopter and that kind of thing, you know?",Elon Musk,00, 13,36
Yeah.,Joe Rogan,00, 13,44
For sure.,Elon Musk,00, 13,44
Fuck yeah.,Joe Rogan,00, 13,45
"Definitely. But then I was like, man, does it really make sense for me to spend time designing and building a house and I’d be real, you know, ghetto like OCD on the little details and the design, or should I be allocating that time to getting us to Mars? I should probably do the latter. Like what’s more important? Mars or a house? I’m like Mars. Okay.",Elon Musk,00, 13,45
"Is that really how you think? Like, I’d be better off planning on a trip to Mars or getting people to Mars?",Joe Rogan,00, 14,13
"Yeah, yeah, definitely. I mean, you can only do so many things.",Elon Musk,00, 14,21
Right.,Joe Rogan,00, 14,25
"Right, so how are you going to [crosstalk 00:14:27]",Elon Musk,00, 14,26
"Well, I don’t know how you do what you do anyway. I don’t understand how you can run The Boring Company, Tesla, SpaceX, all these different things you’re doing constantly. I just, I don’t understand. I mean, you explained last time you were here how you sort of allocate your time and how hectic it is and insane. I still don’t, the productivity is baffling. It just doesn’t make sense how you can get so much done.",Joe Rogan,00, 14,27
"Well, I think I do have high productivity, but even with that there’s still some opportunity to [inaudible 00:14:57] time and allocating time to building a house, even if it was a really great house, it still is not a good use of time relative to developing the rockets necessary to get us to Mars and helping solve sustainable energy. SpaceX and Tesla are by far, you know, the most amount of brain cycles. The Boring Company does not take, you know, it’s like less than 1% of brain cycles. Then this neural link, which is, I don’t know, maybe it’s like 5% and then …",Elon Musk,00, 14,52
5%? That’s a good chunk.,Joe Rogan,00, 15,36
"It’s a good chunk. Yeah, yeah.",Elon Musk,00, 15,38
"We were talking about that last time and you were trying to figure out when it was actually going to go live, when it’s actually going to be available. Are you testing on people right now?",Joe Rogan,00, 15,39
"No, we’re not testing on people yet, but I think it won’t be too long. I think we may be able to implant a neural link in less than a year in a person I think.",Elon Musk,00, 15,50
"When you do this, is there any tests that you have to do before you do something like this to see what percentage of people’s bodies are going to reject these things? Is there a potential for rejection?",Joe Rogan,00, 16,06
"It’s a very low potential for rejection. I mean, you can think of it like people put in heart monitors and things for epileptic seizures and deep brain stimulation obviously like artificial hips and knees and that kind of thing. The probability of, I mean, so it’s well known what will cause rejection and what will not. It’s definitely harder when you’ve got something that is sort of reading and writing neurons that’s generating a current pulse and reading current pulses. That’s a little harder than say a passive device, but it’s still very doable. There are people who have primitive devices in their brains right now.",Elon Musk,00, 16,20
What kind of devices?,Joe Rogan,00, 17,15
"Well, like deep brain stimulation, I think for Parkinson’s, has really changed people’s lives in a big way, which is kind of remarkable because it kind of like zaps your brain. It’s like kicking the TV type of thing. You think like man, kicking the TV shouldn’t work.",Elon Musk,00, 17,17
It does sometimes.,Joe Rogan,00, 17,38
"Yeah, yeah.",Elon Musk,00, 17,39
The old TVs.,Joe Rogan,00, 17,40
It did.,Elon Musk,00, 17,41
My grandpa used to slap the top.,Joe Rogan,00, 17,41
For sure. Yeah.,Elon Musk,00, 17,43
It would work sometimes.,Joe Rogan,00, 17,44
"Yeah, so this deep brain stimulation implanted devices in the brain have changed people’s lives for the better like fundamentally.",Elon Musk,00, 17,45
"Well, let’s talk about what you can talk about to what Neuralink is cause the last time you were here you really couldn’t discuss it. Then there was, I guess a press release or something that sort of outlined … [crosstalk 00:18:04]",Joe Rogan,00, 17,53
"Oh yeah, sure, sure.",Elon Musk,00, 18,03
"Yeah, that had happened quite a bit after the last time you were here. What exactly is it? How do you do, what happens if someone ultimately does get a Neuralink installed what will take place?",Joe Rogan,00, 18,04
"Well, for version one of the device, it would be it basically implanted in your skull. It would be flush with your skull, so you basically take out a chunk of skull, put the Neuralink device in there. You’d insert the electrode threads very carefully into the brain and then you stitch it up and you wouldn’t even know that somebody has it. It can interface basically anywhere in your brain. It could be something that helps cure say eyesight, like returns your eyesight even if you’ve lost your optic nerve type of thing.",Elon Musk,00, 18,18
Really?,Joe Rogan,00, 19,10
"Yeah, yeah, absolutely. I mean, pretty much anything that it could, in principle, fix almost anything that is wrong with the brain. It could restore limb functionality, so if you’ve got an interface into the motor cortex and then an implant that’s like a microcontroller and near muscle groups, you could then create sort of a neural shunt that restores somebody who is a quadriplegic to full functionality. Like they can walk around and be normal.",Elon Musk,00, 19,10
Whoa.,Joe Rogan,00, 19,50
"Yeah, maybe slightly better.",Elon Musk,00, 19,52
Slightly better?,Joe Rogan,00, 19,54
"Over time, yes.",Elon Musk,00, 19,55
You mean with future iterations?,Joe Rogan,00, 19,56
"Like the, you know, $6 million man. Although these days that doesn’t sound like much.",Elon Musk,00, 19,58
"Right, that’s pretty cheap.",Joe Rogan,00, 20,01
Yeah. Yeah.,Elon Musk,00, 20,02
$6 billion man.,Joe Rogan,00, 20,04
Yeah.,Elon Musk,00, 20,05
"The hole would be small, how big would the hole be that you have to drill and then replace with this piece? It’s only one hole?",Joe Rogan,00, 20,07
"Well, yeah, the device we’re working on right now is about, it’s about an inch in diameter. Your skull is pretty thick, by the way.",Elon Musk,00, 20,14
Mine is for sure.,Joe Rogan,00, 20,26
"It might actually, literally, I mean if you’re a big guy, your skull is actually fairly thick. A skull is like seven to 14 millimeters.",Elon Musk,00, 20,27
Mines probably a couple of inches.,Joe Rogan,00, 20,39
"A half inch. Half inch thick skull ish. Yeah, yeah, that’s a fair bit of like … We’ve got quite a coconut going on there. It’s not like some eggshell.",Elon Musk,00, 20,40
"Oh yeah, I believe you.",Joe Rogan,00, 20,51
"Yeah, you basically implant the device.",Elon Musk,00, 20,55
"It would be like a one inch square? One inch in diameter, so an inch circle?",Joe Rogan,00, 20,58
"Yeah, think like a smartwatch or something like that.",Elon Musk,00, 21,04
"Oh, okay.",Joe Rogan,00, 21,08
Yeah.,Elon Musk,00, 21,10
"Okay, so you take this one diameter like ice fishing, right? You ever go ice fishing?",Joe Rogan,00, 21,11
"No, but I’d like to.",Elon Musk,00, 21,16
"It’s great. It’s really fun, so you basically take an auger and you drill through the surface of the ice and you create a small hole. You can dunk your line in there. This is like that. You’re ice fishing on the top of your skull and then you cork it.",Joe Rogan,00, 21,17
"Yeah, and you replace that say one inch diameter piece of skull with the Neuralink device and that has a battery and a Bluetooth and an inductive charger. Then you also insert the electrodes. The electrodes are very carefully inserted with a robot that we developed. It’s very carefully putting in the electrodes and avoiding any veins or arteries so it doesn’t create trauma.",Elon Musk,00, 21,33
"Through this one inch diameter device, electrodes would be inserted and they will find their way …",Joe Rogan,00, 22,07
"Like tiny wires, basically.",Elon Musk,00, 22,13
Tiny wires.,Joe Rogan,00, 22,14
Tiny wires.,Elon Musk,00, 22,15
They’ll find their way to specific areas of the brain to stimulate?,Joe Rogan,00, 22,16
"No, you literally put them where they’re supposed to go.",Elon Musk,00, 22,19
"Oh, okay.",Joe Rogan,00, 22,22
"Yeah, you insert …",Elon Musk,00, 22,23
How long would these wires be?,Joe Rogan,00, 22,25
"I mean, they usually go in like, depending on where it is, like two or three millimeters.",Elon Musk,00, 22,27
They just find the spots?,Joe Rogan,00, 22,37
Yeah.,Elon Musk,00, 22,37
Wow.,Joe Rogan,00, 22,38
Then you put the device in and that replaces the little piece of skull that was taken out. Then you stitch up the hole and they just look like a little scar and that’s it.,Elon Musk,00, 22,40
Would this be replaceable or reversible?,Joe Rogan,00, 22,58
Yeah.,Elon Musk,00, 23,00
"Like if someone can’t take it anymore? I’m too smart, I can’t take it.",Joe Rogan,00, 23,00
"Yeah, you can totally take it out.",Elon Musk,00, 23,04
"Besides restoring limb function and eyesight and hearing, which are all amazing, is there any cognitive benefits that you anticipate from something like this?",Joe Rogan,00, 23,06
"Yeah, I mean you could for sure, I mean, basically it’s a generalized sort of thing for fixing any kind of brain injury in principle, or if you’ve got like severe epilepsy or something like that. It could just sort of stop the epilepsy from occurring. It could detect it in real time and then fire a counter pulse and stop the epilepsy. I mean, there’s a whole range of brain injuries. Like if somebody gets a stroke, they could lose the ability to speak and that could also be fixed. If you’ve got like stroke damage or you lose say muscle control over part of your face or something like that. When you get older you tend to, if you’ve got like Alzheimer’s or something like that, then you lose memory and this could help you with restoring your memory and that kind of thing.",Elon Musk,00, 23,16
"Restoring memory and what is happening that’s allowing it to do that? Like the wires, these small wires are stimulating these areas of the brain. Is it that the areas of the brain are losing some sort of electrical force? What is happening?",Joe Rogan,00, 24,19
Yeah.,Elon Musk,00, 24,34
Yeah?,Joe Rogan,00, 24,35
The thing is it’s like a bunch of circuits and there’s some circuits that are broken and we can fix those circuits. It’s a substitute for those circuits.,Elon Musk,00, 24,35
A specific frequency will go through this?,Joe Rogan,00, 24,49
Yeah.,Elon Musk,00, 24,51
"Is the process figuring out how much or how little has to be, how much these areas of the brain have to be juiced up?",Joe Rogan,00, 24,54
"Yeah. I mean, there’s still a lot of work to do. When I say we’ve got a shot at probably putting in a person within a year, that’s exactly what I mean. I think we have a chance of putting it into one and having them be healthy and restoring some functionality that they’ve lost.",Elon Musk,00, 25,03
The fear is that eventually you’re going to have to cut the whole top of someone’s head off and put a new top with a whole bunch of wires if you want to get the real turbo charged version. The P 100 D of brain stimulation.,Joe Rogan,00, 25,25
"I mean, ultimately if you want to go with full AI symbiosis, you’ll probably want to do something like that.",Elon Musk,00, 25,45
Symbiosis is a scary word when it comes to AI.,Joe Rogan,00, 25,53
It’s optional.,Elon Musk,00, 25,57
I would hope so.,Joe Rogan,00, 26,01
Yeah.,Elon Musk,00, 26,02
"It’s just, I mean, once you enjoy the Doctor Manhattan lifestyle, once you become a god seems very unlikely you’re going to want to go back to being stupid again. I mean, you literally could fundamentally change the way human beings interface with each other.",Joe Rogan,00, 26,02
Yes.,Elon Musk,00, 26,20
Yes.,Joe Rogan,00, 26,21
You wouldn’t need to talk.,Elon Musk,00, 26,22
"I’m so scared of that, but so excited about it at the same time. Is that weird?",Joe Rogan,00, 26,27
"Yeah, I think this is one of the paths to think like what are … Like AI is getting better and better. Now let’s assume it’s sort of like a benign AI scenario. Even in a benign scenario, we’re kind of left behind. We’re not along for the ride. We’re just too dumb.",Elon Musk,00, 26,32
Right.,Joe Rogan,00, 26,57
"How do you go along for the ride? It’s like you can’t beat them, join them. We’re already a cyborg to some degree, right? Cause you’ve got your phone, you’ve got your laptop.",Elon Musk,00, 26,59
Glasses.,Joe Rogan,00, 27,12
"Yeah, yeah. Your electronic devices.",Elon Musk,00, 27,12
Yeah.,Joe Rogan,00, 27,18
"Today, if you don’t bring your phone along it’s like you have missing limb syndrome. It feels like something’s really missing. We’re already partly a cyborg or an AI symbiote, essentially it’s just that the data rate to the electronics is slow. Especially output, like you’re just going with your thumbs. I mean like what’s your data rate? Optimistically, a hundred bits per second. That’s being generous.",Elon Musk,00, 27,19
"Now the computer can communicate at like a hundred terabytes. Certainly, you know, gigabits are trivial at this point. This is like, yeah, basically your computer could do things a million times faster. At a certain point it’s like talking to a tree. Okay? It’s just boring. You talk to a tree it’s not very entertaining. If you can solve the data rate issue and you’re especially output input, too, then you can improve the symbiosis that is already occurring between man and machine.",Elon Musk,00, 27,58
"You can improve it in what, when you said you won’t have to talk to each other anymore. We used to joke around about that. I’ve joked around about that a million times in this podcast that one day in the future there’s going to come a time where you can read each other’s minds. You’ll be able to interface with each other in some sort of a nonverbal, non-physical way where you will transfer data back and forth to each other without having to actually use your mouth. You’ll make noises.",Joe Rogan,00, 28,49
"Exactly, so when you … Like what happens when you, let’s say you’ve got some complex idea that you’re trying to convey to somebody else and how do you do that? Well, your brain spends a lot of effort compressing a complex concept into words and there’s a lot of loss, information loss that occurs when compressing a complex concept into words. Then you say those words and those words are then interpreted, then they’re decompressed by the person who is listening. They will, at best, get a very incomplete understanding of what you’re trying to convey. It’s very difficult to convey a complex concept with precision because you’ve got compression, decompression, you may not even have heard all the words correctly and so communication is difficult. What we have here is a failure to communicate. Cool add Luke.",Elon Musk,00, 29,16
Yes. Great movie.,Joe Rogan,00, 30,12
"Yeah, great on.",Elon Musk,00, 30,14
"There’s an interpretation factor, too. Like you can choose to interpret certain series of words in different ways and they’re dependent upon tone, dependent upon social cues, even facial expressions, sarcasm. There’s a lot of variables.",Joe Rogan,00, 30,15
Sarcasm is difficult.,Elon Musk,00, 30,33
Yes.,Joe Rogan,00, 30,34
Yeah.,Elon Musk,00, 30,34
"One of the things that I’ve said is like that there could be potentially a universal language that’s created through computers that particularly young kids would pick up very quickly. Like, my kids do Tik Tok and all this jazz and I don’t know what they’re doing. They just know how to do it and they know how to do it really quickly. Like they learn really quickly and they show me how to edit things and it’s, if you taught a child from first grade on how to use some new universal language …",Joe Rogan,00, 30,37
"…from first grade on, how to use some new universal language. I mean essentially like a Rosetta Stone and something that’s done, that interprets your thoughts and you can convey your thoughts with no room for interpretation. With clear, very clear, where you know what a person’s saying and you could tell them what you’re saying. There’s no need for noises, no need for mouth noises.",Joe Rogan,00, 31,03
Yes.,Elon Musk,00, 31,27
"No need for these accepted ways that we’ve evolved to make sounds that we all agree, through our cultural dictionary, and we agree. We could bypass all that.",Joe Rogan,00, 31,27
You can still do it for sentimental reasons.,Elon Musk,00, 31,42
Like campfires.,Joe Rogan,00, 31,46
"Yeah, exactly. You don’t need campfire. Don’t need to roast marshmallows to have fun.",Elon Musk,00, 31,48
Right.,Joe Rogan,00, 31,52
"So, yeah, I think you would, in principle you would be able to communicate very quickly and with far more precision ideas and language would, I’m not sure what would happen to language. You could probably in a situation like this, you would be able to just, it’d be kind of like the matrix. You want to speak a different language. No problem.",Elon Musk,00, 31,53
Right.,Joe Rogan,00, 32,21
Just download the program.,Elon Musk,00, 32,22
"Right. So at least for the first iterations, first few iterations. I know that Google has some of their pixel buds have the ability to interpret languages in real time.",Joe Rogan,00, 32,25
Sure.,Elon Musk,00, 32,41
Yeah. You can hear it and it’ll play things back to you in whatever language you choose. So it’d be something along those lines.,Joe Rogan,00, 32,41
Yeah.,Elon Musk,00, 32,49
For the first few iterations.,Joe Rogan,00, 32,50
"Well the first few iterations are, what I’m talking about is in the limit over time, with a lot of development. The first few iterations really in the first few versions all we’re going to be trying to do is solve brain injuries. So, don’t worry. It’s not going to sneak up on you. This will take awhile.",Elon Musk,00, 32,52
How many years? Before you don’t have to talk.,Joe Rogan,00, 33,12
If the development continues to accelerate then maybe five years. Five to 10 years.,Elon Musk,00, 33,20
That’s quick. That’s really quick.,Joe Rogan,00, 33,31
That’s the best case scenario.,Elon Musk,00, 33,34
No talking anymore in five years.,Joe Rogan,00, 33,35
"Best case scenario, but 10 years is more like it.",Elon Musk,00, 33,37
"I’ve always speculated that aliens could potentially be us in the future because if you look at the size of their heads and the fact that they have very little muscle, they don’t use their mouth anymore. They have this tiny little, I mean the archetype of an alien that you see in like Close Encounters of the Third Kind.",Joe Rogan,00, 33,41
"They’re like if you went from australopithecus or ancient hominid to us, what’s the difference? Less hair, less muscle, bigger head and then just keep going. A thousand, a million, whatever year or five years, whatever. Whatever happens when Neuralink goes on online and then we slowly start to adapt to this new way of being where we don’t use our muscles anymore. We have this gigantic head, we can talk without words.",Joe Rogan,00, 33,57
You could also save state.,Elon Musk,00, 34,31
Save state?,Joe Rogan,00, 34,36
Save your brain state like a saved game in a video game.,Elon Musk,00, 34,37
Whoa. Like if you want to swap from Windows 95.,Joe Rogan,00, 34,41
"Well, hopefully a little better than that. But, yeah.",Elon Musk,00, 34,46
I think we are Windows 95 right now.,Joe Rogan,00, 34,50
"From a [inaudible 00:34:54] perspective probably. But yeah, I mean you could save state and restore that state into a biological being if you wanted to in the future in principle, nothing from a physics standpoint that prevents us. Now, you’d be a little different, but then you’re also a little different when you wake up in the morning from yesterday and you’re a little different. In fact, if you say like you five years ago versus you today is quite a big difference.",Elon Musk,00, 34,54
Yes.,Joe Rogan,00, 35,18
So you’d be substantially you. I mean you’d certainly think you’re you.,Elon Musk,00, 35,19
"But the idea of saving yourself and then transforming that into some sort of a biological state, you can hang out with 30 year old you?",Joe Rogan,00, 35,23
I mean the possibilities are endless.,Elon Musk,00, 35,35
It’s so weird.,Joe Rogan,00, 35,40
"I mean, just think like how your phone, you can record videos from your phone. There’s no way you could remember a video as accurately as your phone or a camera could. So now if you’ve got like some version 10 Neuralink, whatever and far in the future, you could recall everything, just like it’s a movie.",Elon Musk,00, 35,41
Crystal clear.,Joe Rogan,00, 36,05
Including all the entire sensory experience.,Elon Musk,00, 36,06
"Emotions, everything.",Joe Rogan,00, 36,09
Everything.,Elon Musk,00, 36,10
Everything.,Joe Rogan,00, 36,10
Everything and play it back and in fact you can edit it.,Elon Musk,00, 36,11
Edit it?,Joe Rogan,00, 36,16
Yeah.,Elon Musk,00, 36,17
So you can change your past?,Joe Rogan,00, 36,17
You could change what you think was your past. Yeah.,Elon Musk,00, 36,19
"Well, so if you had a dramatic experience?",Joe Rogan,00, 36,22
This whole thing right now could be a replayed memory.,Elon Musk,00, 36,23
It could be.,Joe Rogan,00, 36,27
Yeah.,Elon Musk,00, 36,28
It may be. What’s the odds of this being a replayed memory? If you had a guess. More than 50%.,Joe Rogan,00, 36,28
There’s no way to assign a probability with accuracy here.,Elon Musk,00, 36,37
